Group,Petal Length (mm),Petal Width (mm)
0,14,2
0,14,2
0,13,2
0,15,2
0,14,2
0,17,4
0,14,3
0,15,2
0,14,2
0,15,1
0,15,2
0,16,2
0,14,1
0,11,1
0,12,2
0,15,4
0,13,4
0,14,3
0,17,3
0,15,3
0,17,2
0,15,4
0,10,2
0,17,5
0,19,2
0,16,2
0,16,4
0,15,2
0,14,2
0,16,2
0,16,2
0,15,4
0,15,1
0,14,2
0,15,2
0,12,2
0,13,2
0,14,1
0,13,2
0,15,2
0,13,3
0,13,3
0,13,2
0,16,6
0,19,4
0,14,3
0,16,2
0,14,2
0,15,2
0,14,2
1,47,14
1,45,15
1,49,15
1,40,13
1,46,15
1,45,13
1,47,16
1,33,10
1,46,13
1,39,14
1,35,10
1,42,15
1,40,10
1,47,14
1,36,13
1,44,14
1,45,15
1,41,10
1,45,15
1,39,11
1,48,18
1,40,13
1,49,15
1,47,12
1,43,13
1,44,14
1,48,14
1,50,17
1,45,15
1,35,10
1,38,11
1,37,10
1,39,12
1,51,16
1,45,15
1,45,16
1,47,15
1,44,13
1,41,13
1,40,13
1,44,12
1,46,14
1,40,12
1,33,10
1,42,13
1,42,12
1,42,13
1,43,13
1,30,11
1,41,13
2,60,25
2,51,19
2,59,21
2,56,18
2,58,22
2,66,21
2,45,17
2,63,18
2,58,18
2,61,25
2,51,20
2,53,19
2,55,21
2,50,20
2,51,24
2,53,23
2,55,18
2,67,22
2,69,23
2,50,15
2,57,23
2,49,20
2,67,20
2,49,18
2,57,21
2,60,18
2,48,18
2,49,18
2,56,21
2,58,16
2,61,19
2,64,20
2,56,22
2,51,15
2,56,14
2,61,23
2,56,24
2,55,18
2,48,18
2,54,21
2,56,24
2,51,23
2,51,19
2,59,23
2,57,25
2,52,23
2,50,19
2,52,20
2,54,23
2,51,18
